warehouse_id,city,state,warehouse_name
3442f8959a84dea7ee197c632cb2df15,campinas,SP,RouteSphere Campinas Distribution Center
d1b65fc7debc3361ea86b5f14c68d2e2,mogi guacu,SP,SkyRoute Mogi Guacu Supply Depot
ce3ad9de960102d0677a81f5d0bb7b2d,rio de janeiro,RJ,AeroLink Rio De Janeiro Freight Terminal
c0f3eea2e14555b6faeea3dd58c1b1c3,sao paulo,SP,NovaPort Sao Paulo Supply Depot
51a04a8a6bdcb23deccc82b0b80742cf,braganca paulista,SP,RouteSphere Braganca Paulista Logistics Hub
c240c4061717ac1806ae6ee72be3533b,rio de janeiro,RJ,RouteSphere Rio De Janeiro Transit Hub
e49c26c3edfa46d227d5121a6b6e4d37,brejao,PE,AeroLink Brejao Distribution Center
1b938a7ec6ac5061a66a3766e0e75f90,penapolis,SP,MetroCargo Penapolis Freight Terminal
768a86e36ad6aae3d03ee3c6433d61df,sao paulo,SP,MetroCargo Sao Paulo Logistics Hub
ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,MetroCargo Curitiba Supply Depot
8cb7c5ddf41f4d506eba76e9a4702a25,anapolis,GO,TerraFleet Anapolis Freight Terminal
a7a9b880c49781da66651ccf4ba9ac38,itirapina,SP,TerraFleet Itirapina Logistics Hub
8bd0f31cf0a614c658f6763bd02dea69,sao paulo,SP,BlueLane Sao Paulo Logistics Hub
05a48cc8859962767935ab9087417fbb,sao paulo,SP,MetroCargo Sao Paulo Logistics Hub
7b8e8ec35bad4b0ef7e3963650b0a87b,tubarao,SC,MetroCargo Tubarao Transit Hub
1444c08e64d55fb3c25f0f09c07ffcf2,lauro de freitas,BA,NovaPort Lauro De Freitas Logistics Hub
166e8f1381e09651983c38b1f6f91c11,imbituba,SC,SkyRoute Imbituba Supply Depot
e38db885400cd35c71dfd162f2c1dbcf,brasilia,DF,BlueLane Brasilia Supply Depot
d2e753bb80b7d4faa77483ed00edc8ca,porto seguro,BA,RouteSphere Porto Seguro Distribution Center
f9ec7093df3a7b346b7bcf7864069ca3,sao paulo,SP,AeroLink Sao Paulo Supply Depot
4e6015589b781adaa5ce7f1892d06bb1,guaruja,SP,SkyRoute Guaruja Freight Terminal
4cf490a58259286ada5ba8525ba9e84a,tabatinga,SP,SkyRoute Tabatinga Supply Depot
f7496d659ca9fdaf323c0aae84176632,sao paulo,SP,BlueLane Sao Paulo Supply Depot
2ff97219cb8622eaf3cd89b7d9c09824,salto,SP,CargoPulse Salto Transit Hub
8bd0e3abda539b9479c4b44a691be1ec,tres de maio,RS,CargoPulse Tres De Maio Logistics Hub
2a1348e9addc1af5aaa619b1a3679d6b,belo horizonte,MG,RouteSphere Belo Horizonte Transit Hub
2078fe5066350e7d220c0ad3a3bbc6c1,arapongas,PR,TerraFleet Arapongas Transit Hub
116ccb1a1604bc88e4d234a8c23f33de,sao bernardo do campo,SP,RouteSphere Sao Bernardo Do Campo Freight Terminal
430315b7bb4b6e4b3c978f9dfa9b0558,sao paulo,SP,RouteSphere Sao Paulo Transit Hub
406822777a0b9eb5c50e442dd4cd3ec5,tatui,SP,BlueLane Tatui Freight Terminal
4dbd95a08b31ede5c82d3f861cb1ce1a,curitiba,PR,TerraFleet Curitiba Logistics Hub
e9e446d01bd10a97a8ffcfc4a3a20cb2,sao paulo,SP,RouteSphere Sao Paulo Logistics Hub
d52cbce9845184537284a23c3bc3da0e,garopaba,SC,SkyRoute Garopaba Freight Terminal
d9a84e1403de8da0c3aa531d6d108ba6,sao paulo,SP,UrbanLift Sao Paulo Freight Terminal
9c690ceacd5c66731bf443ea810195cb,camanducaia,MG,CargoPulse Camanducaia Distribution Center
1f9ab4708f3056ede07124aad39a2554,tupa,SP,BlueLane Tupa Transit Hub
1961c3e1272bfeceb05d0b78b5bbfdaf,guarulhos,SP,PrimeAxis Guarulhos Logistics Hub
d3e7d37c0df9aef383f3f2a15b0dddfb,sao jose dos pinhais,PR,AeroLink Sao Jose Dos Pinhais Supply Depot
ec2e006556300a79a5a91e4876ab3a56,sao paulo,SP,NovaPort Sao Paulo Freight Terminal
b2a6d334e2833acea353624840e25a0e,sao paulo,SP,CargoPulse Sao Paulo Supply Depot
d3674f271c91f824f82d24d92011f669,brasilia,DF,RouteSphere Brasilia Supply Depot
768de2a4fc06aacecb9a586ccc30746a,brasilia,DF,AeroLink Brasilia Supply Depot
a81466620e46a6970b22ef40379fdfc9,sao ludgero,SC,BlueLane Sao Ludgero Distribution Center
5c030029b5916fed0986310385ec9009,sao jose,SC,SkyRoute Sao Jose Freight Terminal
c0f783394e37cd9c9d7f5f81141450fa,piracicaba,SP,TerraFleet Piracicaba Transit Hub
c353f8fc0ce8344999f17d578eb69a5e,porto alegre,RS,SkyRoute Porto Alegre Freight Terminal
8444e55c1f13cd5c179851e5ca5ebd00,congonhal,MG,TerraFleet Congonhal Logistics Hub
28a26ebce31d5918b181ede016fd693b,belo horizonte,MG,RouteSphere Belo Horizonte Logistics Hub
41ab63a91b8b264e8c8780368bf1dd5b,belo horizonte,MG,NovaPort Belo Horizonte Transit Hub
8759e7aedd644f487315e5860962f162,santo andre,SP,UrbanLift Santo Andre Logistics Hub
e546117ed9cafbc40239c0c78635c584,sao paulo,SP,NovaPort Sao Paulo Logistics Hub
d71d863e5ef30d94e440c11be17dcd8f,osasco,SP,UrbanLift Osasco Logistics Hub
0c7533c71df861ec58ad7ff999ed0e8d,valinhos,SP,TerraFleet Valinhos Transit Hub
ef990a83bbea832f36ebe81376335aa8,joinville,SC,MetroCargo Joinville Freight Terminal
41e0fa5761c886a630994a55c12087e7,guaruja,SP,PrimeAxis Guaruja Transit Hub
0747d5bb69f0586cc869d8af4c50f93e,saquarema,RJ,CargoPulse Saquarema Transit Hub
7d294cf9a6a69dc6a0c3e540fff0e039,barra velha,SC,TerraFleet Barra Velha Freight Terminal
c89cf7c468a48af70aada384e722f9e2,petropolis,RJ,SkyRoute Petropolis Distribution Center
b7ba853e9551f4558440881fd3e5c815,santo antonio da patrulha,RS,PrimeAxis Santo Antonio Da Patrulha Supply Depot
13c2ed7698b3ca92dad49e849219da59,ponta grossa,PR,AeroLink Ponta Grossa Distribution Center
cbbd5ae8f53de5f5097cd8217b529e24,santana de parnaiba,SP,PrimeAxis Santana De Parnaiba Freight Terminal
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,NovaPort Santo Andre Logistics Hub
c013e57c075a06e5b5c48ee03c525719,sao carlos,SP,BlueLane Sao Carlos Distribution Center
55f7a3319d80f7fdf078b8f03e6725fe,osasco,SP,RouteSphere Osasco Logistics Hub
2d50d6282f8aa2257819a77bfaa0efe0,ibitinga,SP,CargoPulse Ibitinga Supply Depot
b7e1750c1157341d2abd0251e07c186b,sao paulo,SP,PrimeAxis Sao Paulo Distribution Center
b90e891671cffd9557f33a97dc523645,sao jose dos pinhais,PR,PrimeAxis Sao Jose Dos Pinhais Supply Depot
a416b6a846a11724393025641d4edd5e,sao paulo,SP,CargoPulse Sao Paulo Transit Hub
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,UrbanLift Barueri Supply Depot
5206cc4bc2297c833e6061c49bf9c43f,osasco,SP,RouteSphere Osasco Distribution Center
f410c8873029fcc3809b9df6d0b28914,caxias do sul,SP,RouteSphere Caxias Do Sul Supply Depot
ef506c96320abeedfb894c34db06f478,sao paulo,SP,CargoPulse Sao Paulo Transit Hub
a13aaf2d2886ab9fb30fb9a920160b8f,joinville,SC,PrimeAxis Joinville Distribution Center
7299e27ed73d2ad986de7f7c77d919fa,araguari,MG,PrimeAxis Araguari Freight Terminal
8a9260f2b0340411d6d2a56bcf4f7378,contagem,MG,NovaPort Contagem Distribution Center
dedcab67899479e4ea5dcc4eba47f587,jaragua do sul,SC,TerraFleet Jaragua Do Sul Transit Hub
b2479f944e1b90cf8a5de1bbfde284d6,ibitinga,SP,RouteSphere Ibitinga Supply Depot
7722b1df1b0e383e000397b2c11e3e19,sao bernardo do campo,SP,NovaPort Sao Bernardo Do Campo Transit Hub
731ef20c231d9a7103a425e83fd91271,lages - sc,SC,NovaPort Lages - Sc Freight Terminal
78813699ffac347fe27dba345a5f1551,bento goncalves,RS,NovaPort Bento Goncalves Freight Terminal
3296662b1331dea51e744505065ae889,catanduva,SP,MetroCargo Catanduva Transit Hub
411f3b52d857390502ee4e4d5ceabc2d,ribeirao pires,SP,MetroCargo Ribeirao Pires Distribution Center
bba3293d6f5d5af2f415e004e8b93ae3,sao paulo,SP,RouteSphere Sao Paulo Supply Depot
4e7c18b98d84e05cbae3ff0ff03846c2,jaboticabal,SP,UrbanLift Jaboticabal Logistics Hub
b56906f7fd1696e043f1bcce164c487b,echapora,SP,UrbanLift Echapora Supply Depot
d650b663c3b5f6fb392b6326366efa9a,cotia,SP,MetroCargo Cotia Transit Hub
669ae81880e08f269a64487cfb287169,rio do sul,SC,MetroCargo Rio Do Sul Transit Hub
c2d70ce2c5d0a2eb75e78668236e6dc8,sao paulo,SP,CargoPulse Sao Paulo Transit Hub
674207551483fec113276b67b0d871ff,sorocaba,SP,SkyRoute Sorocaba Logistics Hub
abe42c5d03695b4257b5c6cbf4e6784e,rio de janeiro,RJ,PrimeAxis Rio De Janeiro Logistics Hub
1996942dc085d7773ba77a529b163cd0,pradopolis,SP,CargoPulse Pradopolis Transit Hub
79b93a308a97792cf53ac75f46da00b5,rio de janeiro,RJ,MetroCargo Rio De Janeiro Logistics Hub
7cf4ea70955b00d6b3c22542598e2715,sao paulo,SP,SkyRoute Sao Paulo Distribution Center
63ffcb71394dd8ea3872ed9ffda17c74,itaborai,RJ,UrbanLift Itaborai Distribution Center
83353a83fd769dfafa4f21a72b15e3e5,sao paulo,SP,PrimeAxis Sao Paulo Logistics Hub
cda598c48d7c614bc1cad7d8ff6f0010,mirassol,SP,RouteSphere Mirassol Freight Terminal
d4910f1cdcfdabd48d6b316e395d4a23,santo andre,SP,RouteSphere Santo Andre Logistics Hub
709e16e2b25c7474d980076c6bfc4806,birigui,SP,MetroCargo Birigui Freight Terminal
9dc79dd988ac42f4d56c340d7048420a,sao paulo,SP,UrbanLift Sao Paulo Distribution Center
276677b5d08786d5dce7c2149dcce48b,belo horizonte,MG,CargoPulse Belo Horizonte Supply Depot
9c4d31c7e46ab03a43fc06e3142afd4e,rio de janeiro,RJ,PrimeAxis Rio De Janeiro Transit Hub
512d298ac2a96d1931b6bd30aa21f61d,rio de janeiro,RJ,UrbanLift Rio De Janeiro Logistics Hub
422be4cc81a457fdb46f47edeb968ae5,ibitinga,SP,RouteSphere Ibitinga Freight Terminal
99cd94252748d2bdde08e17858233602,sao paulo,SP,UrbanLift Sao Paulo Distribution Center
698624c6632eeba1774924dbea24c700,sao paulo,SP,MetroCargo Sao Paulo Logistics Hub
8bb48dc19fccaa8613b6229bf7f452a2,assis,SP,TerraFleet Assis Freight Terminal
ad87df7699e83b8a91822a4a0b765c3a,jaguariuna,SP,SkyRoute Jaguariuna Freight Terminal
d6b664fa0667064c6d76394e7848d790,araraquara,SP,AeroLink Araraquara Transit Hub
98f52e1020fe788c10c0418de4393fec,macae,RJ,CargoPulse Macae Transit Hub
62760d278921b5f352461620d68a9cee,salto,SP,TerraFleet Salto Distribution Center
eb72802c83dc7547529c9546d1a9b8ef,rio claro,SP,RouteSphere Rio Claro Freight Terminal
3f9be91358837bff69df67edfa3e42e8,londrina,PR,PrimeAxis Londrina Distribution Center
1d4587203296c8f4ad134dc286fa6db0,sao paulo,SP,BlueLane Sao Paulo Distribution Center
791cfcfe22fe4a771ece27f90017da92,ribeirao preto,SP,TerraFleet Ribeirao Preto Supply Depot
392f7f2c797e4dc077e4311bde2ab8ce,rio de janeiro,RN,SkyRoute Rio De Janeiro Supply Depot
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,AeroLink Tres Coracoes Distribution Center
37be5a7c751166fbc5f8ccba4119e043,sao paulo,SP,RouteSphere Sao Paulo Transit Hub
87d73636a3acf123e842bb890a4db036,nhandeara,SP,SkyRoute Nhandeara Logistics Hub
3d3ccf2b2f8134b10dce9dd446f0e075,ibitinga,SP,CargoPulse Ibitinga Transit Hub
e24d3429d294b2eb200b064ebb035879,sao paulo,SP,RouteSphere Sao Paulo Distribution Center
44073f8b7e41514de3b7815dd0237f4f,brasilia,DF,NovaPort Brasilia Distribution Center
05ca864204d09595ae591b93ea9cf93d,barueri,SP,MetroCargo Barueri Freight Terminal
9d39404483343dd55c7ae254494d8388,sao paulo,SP,TerraFleet Sao Paulo Supply Depot
f9eda05b67bef472deaddbba84aca289,orleans,SC,SkyRoute Orleans Logistics Hub
75745ef7bc7d4f3ea3380f6f5303f514,brasilia,DF,TerraFleet Brasilia Supply Depot
