return_id,order_id,product_id,qty,reason,processed_date,refund_amount
RT_8e24261a7e58791d10cb1bf9da94df5c,8e24261a7e58791d10cb1bf9da94df5c,,1,canceled/unavailable,2017-11-16,84.0
RT_1b9ecfe83cdc259250e1a8aca174f0ad,1b9ecfe83cdc259250e1a8aca174f0ad,,1,canceled/unavailable,2018-08-04,33.34
RT_c272bcd21c287498b4883c7512019702,c272bcd21c287498b4883c7512019702,,1,canceled/unavailable,2018-01-31,97.68
RT_714fb133a6730ab81fa1d3c1b2007291,714fb133a6730ab81fa1d3c1b2007291,,1,canceled/unavailable,2018-01-26,96.01
RT_37553832a3a89c9b2db59701c357ca67,37553832a3a89c9b2db59701c357ca67,,1,canceled/unavailable,2017-08-14,132.46
RT_d57e15fb07fd180f06ab3926b39edcd2,d57e15fb07fd180f06ab3926b39edcd2,,1,canceled/unavailable,2018-01-08,134.38
RT_3a129877493c8189c59c60eb71d97c29,3a129877493c8189c59c60eb71d97c29,,1,canceled/unavailable,2018-01-25,51.0
RT_00b1cb0320190ca0daa2c88b35206009,00b1cb0320190ca0daa2c88b35206009,,1,canceled/unavailable,2018-08-28,0.0
RT_2f634e2cebf8c0283e7ef0989f77d217,2f634e2cebf8c0283e7ef0989f77d217,,1,canceled/unavailable,2017-09-27,615.53
RT_ee0db22a8e742b752914016708470ec8,ee0db22a8e742b752914016708470ec8,,1,canceled/unavailable,2017-08-24,167.82
RT_ed3efbd3a87bea76c2812c66a0b32219,ed3efbd3a87bea76c2812c66a0b32219,,1,canceled/unavailable,2018-09-20,191.46
RT_0966b61e30c4a07edbd7523f59b3f3e4,0966b61e30c4a07edbd7523f59b3f3e4,,1,canceled/unavailable,2018-05-22,274.11
RT_9021cf1919f615a121410790dcce848f,9021cf1919f615a121410790dcce848f,,1,canceled/unavailable,2018-07-04,233.87
RT_6ad57aecbae806a7e9cc2cdb6b380711,6ad57aecbae806a7e9cc2cdb6b380711,,1,canceled/unavailable,2017-11-30,161.47
RT_df8282afe61008dc26c6c31011474d02,df8282afe61008dc26c6c31011474d02,,1,canceled/unavailable,2017-03-04,139.96
RT_a39d3db795a5cf4c8b6c9dd050f0d326,a39d3db795a5cf4c8b6c9dd050f0d326,,1,canceled/unavailable,2017-03-13,146.01
RT_8d4c637f1accf7a88a4555f02741e606,8d4c637f1accf7a88a4555f02741e606,,1,canceled/unavailable,2018-08-29,66.44
RT_9f3458f0433d4cfa472f4682654b8d49,9f3458f0433d4cfa472f4682654b8d49,,1,canceled/unavailable,2017-07-18,78.18
RT_7a9d4c7f9b068337875b95465330f2fc,7a9d4c7f9b068337875b95465330f2fc,,1,canceled/unavailable,2017-05-01,72.9
RT_375f80ffc05feb35ce2680f1fa490575,375f80ffc05feb35ce2680f1fa490575,,1,canceled/unavailable,2017-06-13,111.02
RT_6bfa92d3952f762df12752e4937cd63e,6bfa92d3952f762df12752e4937cd63e,,1,canceled/unavailable,2018-04-27,120.31
RT_f0df036e9be21fc238f131bbfcdde769,f0df036e9be21fc238f131bbfcdde769,,1,canceled/unavailable,2017-02-24,59.74
RT_86f0bcd9b426a2c1022ae317c7f27be6,86f0bcd9b426a2c1022ae317c7f27be6,,1,canceled/unavailable,2017-03-08,177.59
RT_98fe01bc254b759c1f2c11d77c2891d5,98fe01bc254b759c1f2c11d77c2891d5,,1,canceled/unavailable,2017-10-17,199.06
RT_2eb5ba20812f78127f6243fa27fb40e5,2eb5ba20812f78127f6243fa27fb40e5,,1,canceled/unavailable,2017-05-29,252.61
RT_f56dc9034c3962e36d49fb73baa12800,f56dc9034c3962e36d49fb73baa12800,,1,canceled/unavailable,2017-08-10,205.81
